date,game_no,vis,home,,temp,wind_speed,conditions,percip
4/20/1990,0,BOS,MIL,329830BOSMIL,58,null,night,rain
4/20/1990,0,ANA,MIN,329830CALMIN,null,null,in dome,null
4/20/1990,0,MON,NYN,329830MONNYN,60,null,night,no precipitation
4/20/1990,0,SEA,OAK,329830SEAOAK,58,12,night,no precipitation
4/20/1990,0,SFN,SDN,329830SFNSDN,70,null,night,no precipitation
4/20/1990,0,PHI,SLN,329830PHISLN,69,5,night,showers
4/20/1990,0,NYA,TEX,329830NYATEX,null,null,night,null
4/20/1990,0,KCA,TOR,329830KCATOR,null,0,in dome,null
4/21/1990,0,DET,BAL,329840DETBAL,65,null,cloudy,rain
4/21/1990,0,PIT,CHN,329840PITCHN,null,null,night,no precipitation
4/21/1990,0,ATL,CIN,329840ATLCIN,63,null,cloudy,no precipitation
4/21/1990,0,CHA,CLE,329840CHACLE,51,20,cloudy,no precipitation
4/21/1990,0,HOU,LAN,329840HOULAN,60,null,night,no precipitation
4/21/1990,0,BOS,MIL,329840BOSMIL,66,4,sunny,no precipitation
4/21/1990,0,ANA,MIN,329840CALMIN,null,null,in dome,null
4/21/1990,0,MON,NYN,329840MONNYN,55,null,overcast,snow
4/21/1990,0,SEA,OAK,329840SEAOAK,60,null,overcast,no precipitation
4/21/1990,0,SFN,SDN,329840SFNSDN,60,null,night,no precipitation
4/21/1990,0,PHI,SLN,329840PHISLN,69,10,night,no precipitation
4/21/1990,0,NYA,TEX,329840NYATEX,82,null,night,no precipitation
4/21/1990,0,KCA,TOR,329840KCATOR,67,0,in dome,null
4/22/1990,0,DET,BAL,329850DETBAL,67,5,sunny,no precipitation
4/22/1990,0,PIT,CHN,329850PITCHN,69,10,sunny,no precipitation
4/22/1990,0,ATL,CIN,329850ATLCIN,70,null,sunny,no precipitation
4/22/1990,0,CHA,CLE,329850CHACLE,47,null,sunny,no precipitation
4/22/1990,0,HOU,LAN,329850HOULAN,null,null,cloudy,no precipitation
4/22/1990,0,BOS,MIL,329850BOSMIL,68,null,sunny,no precipitation
4/22/1990,0,ANA,MIN,329850CALMIN,null,null,unknown,null
4/22/1990,0,MON,NYN,329850MONNYN,62,10,sunny,no precipitation
4/22/1990,0,SEA,OAK,329850SEAOAK,59,14,overcast,showers
4/22/1990,0,SFN,SDN,329850SFNSDN,60,null,night,no precipitation
4/22/1990,0,PHI,SLN,329850PHISLN,null,null,unknown,null
4/22/1990,0,NYA,TEX,329850NYATEX,81,16,cloudy,no precipitation
4/22/1990,0,KCA,TOR,329850KCATOR,null,null,in dome,null
4/23/1990,0,KCA,BAL,329860KCABAL,85,null,night,no precipitation
4/23/1990,0,DET,MIN,329860DETMIN,null,null,in dome,null
4/23/1990,0,SFN,SDN,329860SFNSDN,62,null,cloudy,showers
4/23/1990,0,PIT,SLN,329860PITSLN,80,9,night,no precipitation
4/23/1990,0,CLE,TOR,329860CLETOR,70,null,in dome,null
4/24/1990,0,OAK,BAL,329870OAKBAL,null,null,night,no precipitation
4/24/1990,0,ANA,BOS,329870CALBOS,49,15,night,no precipitation
4/24/1990,0,MON,HOU,329870MONHOU,72,0,in dome,null
4/24/1990,0,SLN,LAN,329870SLNLAN,null,null,night,no precipitation
4/24/1990,0,KCA,MIL,329870KCAMIL,74,null,night,no precipitation
4/24/1990,0,DET,MIN,329870DETMIN,null,null,in dome,null
4/24/1990,0,SEA,NYA,329870SEANYA,54,5,night,no precipitation
4/24/1990,0,ATL,NYN,329870ATLNYN,57,13,night,no precipitation
4/24/1990,0,CIN,PHI,329870CINPHI,null,null,night,no precipitation
4/24/1990,0,CHN,SDN,329870CHNSDN,60,null,night,no precipitation
4/24/1990,0,PIT,SFN,329870PITSFN,58,null,cloudy,no precipitation
4/24/1990,0,CHA,TEX,329870CHATEX,76,null,night,no precipitation
4/24/1990,0,CLE,TOR,329870CLETOR,null,null,in dome,null
4/25/1990,0,OAK,BAL,329880OAKBAL,81,6,night,no precipitation
4/25/1990,0,ANA,BOS,329880CALBOS,50,null,night,drizzle
4/25/1990,0,MON,HOU,329880MONHOU,null,null,in dome,null
4/25/1990,0,SLN,LAN,329880SLNLAN,65,null,night,no precipitation
4/25/1990,0,KCA,MIL,329880KCAMIL,83,15,sunny,no precipitation
4/25/1990,0,DET,MIN,329880DETMIN,null,null,in dome,null
4/25/1990,0,SEA,NYA,329880SEANYA,61,4,night,no precipitation
4/25/1990,0,ATL,NYN,329880ATLNYN,57,null,night,no precipitation
4/25/1990,0,CIN,PHI,329880CINPHI,null,null,night,no precipitation
4/25/1990,0,CHN,SDN,329880CHNSDN,65,null,night,no precipitation
4/25/1990,0,PIT,SFN,329880PITSFN,null,null,night,no precipitation
4/25/1990,0,CHA,TEX,329880CHATEX,77,null,night,no precipitation
4/25/1990,0,CLE,TOR,329880CLETOR,70,null,in dome,null
4/26/1990,0,HOU,ATL,329890HOUATL,null,null,sunny,no precipitation
4/26/1990,0,OAK,BAL,329890OAKBAL,93,null,night,no precipitation
4/26/1990,0,ANA,BOS,329890CALBOS,55,null,night,no precipitation
4/26/1990,0,SLN,LAN,329890SLNLAN,70,null,night,no precipitation
4/26/1990,0,KCA,MIL,329890KCAMIL,82,null,cloudy,no precipitation
4/26/1990,0,SEA,NYA,329890SEANYA,65,null,night,no precipitation
4/26/1990,0,CHN,SDN,329890CHNSDN,80,0,sunny,no precipitation
4/26/1990,0,PIT,SFN,329890PITSFN,74,15,sunny,no precipitation
4/26/1990,0,CHA,TEX,329890CHATEX,67,0,night,no precipitation
4/26/1990,0,CLE,TOR,329890CLETOR,null,null,in dome,null
4/27/1990,0,PHI,ATL,329900PHIATL,null,null,unknown,null
4/27/1990,0,SEA,BAL,329900SEABAL,91,0,night,no precipitation
4/27/1990,0,OAK,BOS,329900OAKBOS,89,null,night,no precipitation
