date,home_team
4/1/1996,MIN
4/1/1996,OAK
4/1/1996,TEX
4/1/1996,ATL
4/1/1996,CHN
4/1/1996,ANA
4/1/1996,HOU
4/1/1996,NYN
4/2/1996,BAL
4/2/1996,ANA
4/2/1996,CLE
4/2/1996,CIN
4/2/1996,PHI
4/5/1996,KCA
4/5/1996,MON
4/8/1996,COL
4/8/1996,LAN
4/8/1996,PIT
4/8/1996,SDN
4/8/1996,SLN
4/9/1996,BOS
4/9/1996,CHA
4/9/1996,DET
4/9/1996,MIL
4/9/1996,NYA
4/9/1996,TOR
4/12/1996,SFN
5/27/1996,ANA
5/27/1996,KCA
5/27/1996,OAK
5/27/1996,TEX
5/27/1996,CHN
5/27/1996,ANA
5/27/1996,PIT
5/27/1996,SLN
6/24/1996,MON
7/1/1996,TOR
7/4/1996,BAL
7/4/1996,CLE
7/4/1996,DET
7/4/1996,MIN
7/4/1996,NYA
7/4/1996,OAK
7/4/1996,TEX
7/4/1996,ATL
7/4/1996,CHN
7/4/1996,LAN
7/4/1996,PHI
7/4/1996,PIT
7/4/1996,SDN
9/2/1996,ANA
9/2/1996,CHA
9/2/1996,MIL
9/2/1996,OAK
9/2/1996,SEA
9/2/1996,TEX
9/2/1996,TOR
9/2/1996,CIN
9/2/1996,ANA
9/2/1996,MON
9/2/1996,NYN
9/2/1996,PHI
9/2/1996,PIT
9/2/1996,SLN
4/1/1997,CIN
4/1/1997,ANA
4/1/1997,HOU
4/1/1997,LAN
4/1/1997,MON
4/1/1997,SDN
4/1/1997,SFN
4/1/1997,MIN
4/1/1997,SEA
4/1/1997,TEX
4/1/1997,TOR
4/2/1997,ANA
4/2/1997,BAL
4/2/1997,OAK
4/4/1997,ATL
4/4/1997,CHA
4/7/1997,COL
4/7/1997,DET
4/7/1997,KCA
4/7/1997,MIL
4/8/1997,CHN
4/8/1997,SLN
4/11/1997,PHI
4/11/1997,PIT
4/11/1997,BOS
4/11/1997,CLE
4/11/1997,NYA
4/13/1997,NYN
5/26/1997,CIN
5/26/1997,CIN
5/26/1997,COL
5/26/1997,LAN
5/26/1997,PIT
5/26/1997,SDN
5/26/1997,SFN
5/26/1997,BOS
5/26/1997,CHA
5/26/1997,DET
5/26/1997,KCA
5/26/1997,MIN
5/26/1997,NYA
6/24/1997,MON
7/1/1997,TOR
7/4/1997,HOU
7/4/1997,NYN
7/4/1997,PHI
7/4/1997,SDN
7/4/1997,SFN
7/4/1997,SLN
7/4/1997,ANA
7/4/1997,CHA
7/4/1997,CLE
7/4/1997,DET
7/4/1997,DET
7/4/1997,MIL
7/4/1997,TEX
9/1/1997,ATL
9/1/1997,CHN
9/1/1997,CIN
9/1/1997,ANA
9/1/1997,HOU
9/1/1997,MON
9/1/1997,NYN
9/1/1997,PHI
9/1/1997,PIT
9/1/1997,SLN
9/1/1997,ANA
9/1/1997,OAK
9/1/1997,SEA
3/31/1998,BAL
3/31/1998,SEA
3/31/1998,TBA
3/31/1998,TEX
3/31/1998,ARI
3/31/1998,ATL
3/31/1998,CIN
3/31/1998,ANA
3/31/1998,HOU
3/31/1998,NYN
3/31/1998,SLN
4/1/1998,ANA
4/1/1998,OAK
4/1/1998,TOR
4/1/1998,MON
4/3/1998,MIN
4/3/1998,CHN
4/6/1998,CHA
4/7/1998,DET
4/7/1998,KCA
4/7/1998,COL
4/7/1998,LAN
4/7/1998,MIL
4/7/1998,PHI
4/7/1998,PIT
4/7/1998,SDN
4/7/1998,SFN
4/10/1998,BOS
4/10/1998,CLE
4/10/1998,NYA
5/25/1998,ANA
5/25/1998,BOS
5/25/1998,CHA
5/25/1998,CLE
5/25/1998,OAK
5/25/1998,SEA
5/25/1998,TEX
5/25/1998,ARI
5/25/1998,ATL
5/25/1998,CIN
5/25/1998,HOU
5/25/1998,SLN
6/24/1998,MON
7/1/1998,TOR
7/3/1998,ANA
7/3/1998,BOS
7/3/1998,KCA
7/3/1998,MIN
7/3/1998,NYA
7/3/1998,TEX
7/3/1998,ATL
7/3/1998,CHN
7/3/1998,CIN
7/3/1998,HOU
7/3/1998,PHI
7/3/1998,SDN
7/3/1998,SFN
7/4/1998,ANA
7/4/1998,BOS
7/4/1998,KCA
7/4/1998,MIN
7/4/1998,NYA
7/4/1998,TEX
7/4/1998,ATL
7/4/1998,CHN
7/4/1998,CIN
7/4/1998,HOU
7/4/1998,PHI
7/4/1998,SDN
7/4/1998,SFN
9/7/1998,BOS
9/7/1998,CHA
9/7/1998,SEA
9/7/1998,TEX
9/7/1998,TOR
9/7/1998,ARI
9/7/1998,COL
9/7/1998,HOU
9/7/1998,NYN
9/7/1998,PIT
9/7/1998,SDN
9/7/1998,SLN
4/4/1999,SDN
4/5/1999,BAL
4/5/1999,KCA
4/5/1999,OAK
4/5/1999,SEA
4/5/1999,TEX
4/5/1999,ATL
4/5/1999,CIN
4/5/1999,ANA
4/5/1999,LAN
4/5/1999,PIT
4/5/1999,SLN
4/6/1999,ANA
4/6/1999,MIN
4/6/1999,HOU
4/8/1999,MON
4/8/1999,SFN
4/9/1999,CHA
4/9/1999,NYA
4/9/1999,TBA
4/12/1999,CLE
4/12/1999,DET
4/12/1999,TOR
4/12/1999,ARI
4/12/1999,CHN
4/12/1999,COL
4/12/1999,NYN
4/12/1999,PHI
4/13/1999,BOS
4/16/1999,MIL
5/31/1999,ANA
5/31/1999,BOS
5/31/1999,NYA
5/31/1999,OAK
5/31/1999,SEA
5/31/1999,TEX
5/31/1999,ATL
5/31/1999,ANA
5/31/1999,MIL
5/31/1999,NYN
5/31/1999,PHI
5/31/1999,PIT
7/1/1999,TOR
7/4/1999,CHA
7/4/1999,CLE
7/4/1999,MIN
7/4/1999,NYA
7/4/1999,OAK
7/4/1999,TEX
7/4/1999,CIN
7/4/1999,COL
7/4/1999,ANA
7/4/1999,LAN
7/4/1999,NYN
7/4/1999,PHI
7/4/1999,PIT
7/4/1999,SLN
7/5/1999,ANA
7/5/1999,NYA
7/5/1999,OAK
7/5/1999,TBA
7/5/1999,ATL
7/5/1999,CIN
7/5/1999,COL
7/5/1999,NYN
7/5/1999,PHI
7/5/1999,PIT
7/5/1999,SDN
7/5/1999,SLN
9/6/1999,ANA
9/6/1999,BAL
9/6/1999,OAK
9/6/1999,SEA
9/6/1999,TBA
9/6/1999,TEX
9/6/1999,TEX
9/6/1999,ATL
9/6/1999,CHN
9/6/1999,ANA
9/6/1999,MON
9/6/1999,NYN
9/6/1999,PHI
9/6/1999,PIT
3/29/2000,NYN
3/30/2000,CHN
4/3/2000,ATL
4/3/2000,CIN
4/3/2000,ANA
4/3/2000,MON
4/3/2000,SLN
4/3/2000,ANA
4/3/2000,BAL
4/3/2000,MIN
4/3/2000,OAK
4/3/2000,TEX
4/3/2000,TOR
4/4/2000,ARI
4/4/2000,PIT
4/4/2000,SEA
4/7/2000,HOU
4/7/2000,KCA
4/7/2000,TBA
4/10/2000,COL
4/10/2000,MIL
4/10/2000,PHI
4/10/2000,SDN
4/11/2000,SFN
4/11/2000,BOS
4/11/2000,DET
4/12/2000,NYA
4/14/2000,LAN
4/14/2000,CHA
4/14/2000,CLE
5/29/2000,ARI
5/29/2000,CHN
